Etunimi,Lukumäärä
Elvi,4999
Salme,4990
Jessica,4989
Elise,4979
Elena,4976
Anitta,4901
Soile,4857
Meri,4821
Meeri,4772
Eevi,4745
Cecilia,4690
Asta,4669
Minttu,4598
Hilja,4549
Saana,4507
Aira,4469
Talvikki,4459
Lahja,4453
Amalia,4407
Laila,4387
Rauha,4357
Maaret,4321
Auli,4318
Taimi,4302
Sirkka-Liisa,4290
Nelli,4172
Heleena,4128
Kaisu,4128
Irina,4112
Maiju,4107
Janina,4091
Armi,4037
Ada,4017
Pihla,4003
Rauni,3989
Saija,3987
Marina,3934
Eira,3882
Marianna,3882
Elviira,3871
Heini,3848
Minea,3843
Olga,3834
Charlotta,3792
Lumi,3756
Sylvi,3755
Alma,3727
Anette,3709
Karin,3653
Adele,3627
Sirkku,3598
Nella,3587
Hilma,3556
Ingeborg,3481
Matleena,3437
Josefina,3363
Neea,3358
Vappu,3334
Oili,3330
Hilda,3293
Anna-Maija,3289
Eeva-Liisa,3277
Senja,3269
Wilhelmiina,3261
Joanna,3254
Vieno,3246
Hilla,3237
Birgit,3232
Mirva,3211
Jemina,3209
Iris,3171
Eliina,3169
Tytti,3162
Alli,3150
Rosa,3145
Sanelma,3107
Maila,3097
Tyyne,3061
Peppi,3026
Janika,3024
Saimi,3023
Soili,2990
Victoria,2962
Monica,2941
Helmiina,2929
Aava,2908
Saga,2872
Janette,2832
Loviisa,2830
Annina,2812
Fanny,2805
Jutta,2805
Anelma,2797
Mila,2784
Astrid,2774
Linnéa,2756
Natalia,2753
Aini,2694
Isla,2639
Anne-Mari,2610
Tea,2609
Teresa,2599
Janita,2589
Kiia,2577
Piritta,2543
Netta,2537
Regina,2532
Raakel,2523
Sandra,2519
Fanni,2497
Karita,2496
Mirka,2488
Helka,2466
Ingrid,2445
Elma,2435
Mona,2414
Inari,2412
Inga,2394
Eine,2390
Vilja,2388
Daniela,2366
Stella,2357
Nora,2351
Ulla-Maija,2346
Virve,2319
Ulrika,2305
Anna-Maria,2295
Lempi,2294
Vanessa,2284
Saila,2259
