Sukunimi,Nimenhaltijoita yhteensä
Kuronen,2338
Tiihonen,2335
Latvala,2333
Oikarinen,2330
Konttinen,2325
Muhonen,2310
Alanko,2305
Sirén,2302
Alanen,2298
Elo,2296
Kämäräinen,2294
Linna,2292
Sjöblom,2284
Ryynänen,2276
Simola,2269
Reinikainen,2268
Rönkkö,2256
Salomaa,2253
Sirviö,2245
Riihimäki,2241
Soini,2240
Pekkarinen,2233
Eloranta,2225
Keskitalo,2225
Kiuru,2218
Lammi,2218
Pöllänen,2215
Marttinen,2209
Kari,2202
Forsman,2201
Airaksinen,2199
Nevala,2189
Haapaniemi,2170
Järvi,2168
Antikainen,2162
Holappa,2158
Sutinen,2155
Ylinen,2150
Simonen,2148
Uotila,2145
Puranen,2143
Aro,2142
Lankinen,2141
Sihvonen,2134
Grönroos,2133
Ihalainen,2132
Toivola,2099
Kauppi,2095
Tähtinen,2087
Aarnio,2084
Paavilainen,2082
Snellman,2071
Kauhanen,2063
Joensuu,2060
Kalliokoski,2054
Lehti,2053
Virolainen,2047
Kiiskinen,2045
Sivonen,2045
Sundström,2037
Luoto,2023
Sormunen,2017
Eerola,2015
Koivuniemi,2014
Luostarinen,2012
Hassinen,2006
Friman,2004
Ruohonen,2002
Westerlund,1995
Törmänen,1994
Suvanto,1970
Kotilainen,1967
Nordström,1962
Tuomisto,1959
Nenonen,1933
Ruuska,1933
Tervonen,1922
Kiiski,1921
Sinkkonen,1919
Koljonen,1916
Laamanen,1916
Pietikäinen,1914
Sorsa,1912
Nygård,1910
Piiroinen,1901
Sinisalo,1899
Björklund,1897
Rajamäki,1897
Pikkarainen,1888
Antila,1884
Ukkonen,1876
Tenhunen,1870
Nyström,1866
Suomela,1863
Lämsä,1857
Siitonen,1855
Forsström,1851
Kuokkanen,1850
Vuorio,1849
Ekman,1845
Suomi,1845
Paajanen,1838
Laitila,1834
Neuvonen,1832
Kekkonen,1829
Huusko,1824
Leppälä,1824
Lind,1820
Pöyhönen,1819
Junttila,1816
Vainionpää,1812
Alho,1811
Bergman,1808
Lyytikäinen,1807
Saarelainen,1806
Hyytiäinen,1796
Vepsäläinen,1796
Vanhanen,1795
Jantunen,1794
Kujanpää,1792
Jylhä,1791
Tahvanainen,1790
Mäkitalo,1788
Arola,1783
Suutari,1779
Wikström,1779
Sandberg,1776
Hynninen,1771
Lempinen,1769
Kontio,1763
Hakanen,1762
Nyholm,1758
Helander,1756
